Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC,,,,,
Day  ,JD  ,Month  ,State_id  ,Year  ,TAVE (F) 
1,1,1,'046719',1997,58
2,2,1,'046719',1997,57
3,3,1,'046719',1997,61
4,4,1,'046719',1997,57
5,5,1,'046719',1997,58
6,6,1,'046719',1997,56
7,7,1,'046719',1997,56
8,8,1,'046719',1997,55
9,9,1,'046719',1997,53
10,10,1,'046719',1997,53
11,11,1,'046719',1997,53
12,12,1,'046719',1997,52
13,13,1,'046719',1997,49
14,14,1,'046719',1997,49
15,15,1,'046719',1997,48
16,16,1,'046719',1997,52
17,17,1,'046719',1997,54
18,18,1,'046719',1997,59
19,19,1,'046719',1997,59
20,20,1,'046719',1997,58
21,21,1,'046719',1997,48
22,22,1,'046719',1997,51
23,23,1,'046719',1997,56
24,24,1,'046719',1997,58
25,25,1,'046719',1997,58
26,26,1,'046719',1997,58
27,27,1,'046719',1997,59
28,28,1,'046719',1997,63
29,29,1,'046719',1997,66
30,30,1,'046719',1997,65
31,31,1,'046719',1997,64
1,32,2,'046719',1997,61
2,33,2,'046719',1997,61
3,34,2,'046719',1997,60
4,35,2,'046719',1997,58
5,36,2,'046719',1997,56
6,37,2,'046719',1997,57
7,38,2,'046719',1997,57
8,39,2,'046719',1997,57
9,40,2,'046719',1997,57
10,41,2,'046719',1997,57
11,42,2,'046719',1997,57
12,43,2,'046719',1997,58
13,44,2,'046719',1997,59
14,45,2,'046719',1997,61
15,46,2,'046719',1997,64
16,47,2,'046719',1997,67
17,48,2,'046719',1997,58
18,49,2,'046719',1997,63
19,50,2,'046719',1997,66
20,51,2,'046719',1997,68
21,52,2,'046719',1997,63
22,53,2,'046719',1997,60
23,54,2,'046719',1997,59
24,55,2,'046719',1997,58
25,56,2,'046719',1997,64
26,57,2,'046719',1997,63
27,58,2,'046719',1997,55
28,59,2,'046719',1997,55
1,60,3,'046719',1997,55
2,61,3,'046719',1997,56
3,62,3,'046719',1997,54
4,63,3,'046719',1997,58
5,64,3,'046719',1997,68
6,65,3,'046719',1997,67
7,66,3,'046719',1997,66
8,67,3,'046719',1997,62
9,68,3,'046719',1997,70
10,69,3,'046719',1997,72
11,70,3,'046719',1997,73
12,71,3,'046719',1997,64
13,72,3,'046719',1997,65
14,73,3,'046719',1997,62
15,74,3,'046719',1997,63
16,75,3,'046719',1997,57
17,76,3,'046719',1997,61
18,77,3,'046719',1997,71
19,78,3,'046719',1997,77
20,79,3,'046719',1997,75
21,80,3,'046719',1997,71
22,81,3,'046719',1997,64
23,82,3,'046719',1997,56
24,83,3,'046719',1997,62
25,84,3,'046719',1997,69
26,85,3,'046719',1997,65
27,86,3,'046719',1997,61
28,87,3,'046719',1997,60
29,88,3,'046719',1997,66
30,89,3,'046719',1997,64
31,90,3,'046719',1997,60
1,91,4,'046719',1997,59
2,92,4,'046719',1997,55
3,93,4,'046719',1997,55
4,94,4,'046719',1997,58
5,95,4,'046719',1997,58
6,96,4,'046719',1997,58
7,97,4,'046719',1997,60
8,98,4,'046719',1997,62
9,99,4,'046719',1997,60
10,100,4,'046719',1997,60
11,101,4,'046719',1997,58
12,102,4,'046719',1997,62
13,103,4,'046719',1997,67
14,104,4,'046719',1997,66
15,105,4,'046719',1997,69
16,106,4,'046719',1997,70
17,107,4,'046719',1997,69
18,108,4,'046719',1997,67
19,109,4,'046719',1997,65
20,110,4,'046719',1997,70
21,111,4,'046719',1997,75
22,112,4,'046719',1997,75
23,113,4,'046719',1997,75
24,114,4,'046719',1997,66
25,115,4,'046719',1997,69
26,116,4,'046719',1997,71
