Back to Contents,Data 1: Weekly Working Gas in Underground Storage,,,,,,
Sourcekey,NW_EPG0_SAO_R48_BCF,NW_EPG0_SAO_R88_BCF,NW_EPG0_SAO_R89_BCF,NW_EPG0_SAO_R87_BCF,NW_EPG0_SSO_R87_BCF,NW_EPG0_SNO_R87_BCF,
Date,Weekly Lower 48 States Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Eastern Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Western Consuming Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Salt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),Weekly Nonsalt Producing Region Natural Gas Working Underground Storage  (Billion Cubic Feet),
"Dec 31, 1993",2322,1411,341,570,,,
"Jan 07, 1994",2186,1323,331,532,,,
"Jan 14, 1994",2019,1199,316,504,,,
"Jan 21, 1994",1782,1040,303,440,,,
"Jan 28, 1994",1662,958,290,414,,,
"Feb 04, 1994",1470,838,266,365,,,
"Feb 11, 1994",1303,728,246,330,,,
"Feb 18, 1994",1203,665,228,310,,,
"Feb 25, 1994",1149,627,212,309,,,
"Mar 04, 1994",1015,529,206,281,,,
"Mar 11, 1994",1004,531,201,271,,,
"Mar 18, 1994",952,462,205,284,,,
"Mar 25, 1994",965,461,202,303,,,
"Apr 01, 1994",953,465,201,287,,,
"Apr 08, 1994",969,475,201,293,,,
"Apr 15, 1994",1005,494,202,308,,,
"Apr 22, 1994",1085,541,210,334,,,
"Apr 29, 1994",1161,593,215,353,,,
"May 06, 1994",1237,636,225,376,,,
"May 13, 1994",1325,690,236,399,,,
"May 20, 1994",1403,731,242,429,,,
"May 27, 1994",1494,795,256,443,,,
"Jun 03, 1994",1601,860,266,475,,,
"Jun 10, 1994",1682,917,283,482,,,
"Jun 17, 1994",1754,968,283,504,,,
"Jun 24, 1994",1821,1022,290,509,,,
"Jul 01, 1994",1911,1099,295,518,,,
"Jul 08, 1994",1999,1146,305,549,,,
"Jul 15, 1994",2096,1215,312,569,,,
"Jul 22, 1994",2179,1272,320,586,,,
"Jul 29, 1994",2248,1325,325,598,,,
"Aug 05, 1994",2335,1385,329,621,,,
"Aug 12, 1994",2396,1426,334,637,,,
"Aug 19, 1994",2485,1494,338,652,,,
"Aug 26, 1994",2557,1546,345,666,,,
"Sep 02, 1994",2632,1594,353,686,,,
"Sep 09, 1994",2716,1645,370,701,,,
"Sep 16, 1994",2791,1687,385,719,,,
"Sep 23, 1994",2854,1732,387,735,,,
"Sep 30, 1994",2912,1776,388,748,,,
"Oct 07, 1994",2962,1802,395,765,,,
"Oct 14, 1994",2992,1822,398,773,,,
"Oct 21, 1994",3061,1878,404,778,,,
"Oct 28, 1994",3071,1881,407,782,,,
"Nov 04, 1994",3080,1891,404,785,,,
"Nov 11, 1994",3096,1896,405,795,,,
"Nov 18, 1994",3086,1887,398,801,,,
"Nov 25, 1994",3034,1851,390,793,,,
"Dec 02, 1994",2957,1809,380,769,,,
"Dec 09, 1994",2914,1786,367,762,,,
"Dec 16, 1994",2765,1700,345,720,,,
"Dec 23, 1994",2696,1648,348,700,,,
"Dec 30, 1994",2632,1606,346,680,,,
"Jan 06, 1995",2450,1492,320,637,,,
"Jan 13, 1995",2339,1407,316,616,,,
"Jan 20, 1995",2283,1383,303,597,,,
"Jan 27, 1995",2124,1264,290,569,,,
"Feb 03, 1995",1998,1171,289,538,,,
"Feb 10, 1995",1824,1033,285,506,,,
"Feb 17, 1995",1628,890,271,466,,,
"Feb 24, 1995",1604,863,274,466,,,
"Mar 03, 1995",1488,774,268,445,,,
"Mar 10, 1995",1347,699,261,387,,,
"Mar 17, 1995",1333,667,261,405,,,
"Mar 24, 1995",1362,690,257,415,,,
"Mar 31, 1995",1332,664,251,417,,,
"Apr 07, 1995",1293,623,255,415,,,
"Apr 14, 1995",1288,613,252,423,,,
"Apr 21, 1995",1325,635,244,446,,,
"Apr 28, 1995",1362,664,246,453,,,
"May 05, 1995",1405,690,250,466,,,
"May 12, 1995",1416,685,257,474,,,
"May 19, 1995",1526,774,267,485,,,
"May 26, 1995",1605,820,274,511,,,
"Jun 02, 1995",1698,865,288,544,,,
"Jun 09, 1995",1774,925,303,546,,,
"Jun 16, 1995",1863,980,314,569,,,
"Jun 23, 1995",1950,1031,324,594,,,
"Jun 30, 1995",2014,1086,328,600,,,
"Jul 07, 1995",2125,1152,346,626,,,
"Jul 14, 1995",2189,1199,354,636,,,
"Jul 21, 1995",2239,1240,359,639,,,
"Jul 28, 1995",2289,1286,362,640,,,
"Aug 04, 1995",2320,1320,363,638,,,
"Aug 11, 1995",2371,1366,365,640,,,
"Aug 18, 1995",2403,1401,368,634,,,
"Aug 25, 1995",2456,1447,372,637,,,
"Sep 01, 1995",2503,1494,373,635,,,
"Sep 08, 1995",2582,1550,377,654,,,
"Sep 15, 1995",2655,1598,386,672,,,
"Sep 22, 1995",2727,1646,391,690,,,
"Sep 29, 1995",2795,1683,398,714,,,
"Oct 06, 1995",2836,1723,397,716,,,
