Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC,,,,,
Day  ,JD  ,Month  ,State_id  ,Year  ,TAVE (F) 
1,1,1,'419532',1997,57
2,2,1,'419532',1997,62
3,3,1,'419532',1997,64
4,4,1,'419532',1997,72
5,5,1,'419532',1997,60
6,6,1,'419532',1997,41
7,7,1,'419532',1997,33
8,8,1,'419532',1997,32
9,9,1,'419532',1997,29
10,10,1,'419532',1997,39
11,11,1,'419532',1997,28
12,12,1,'419532',1997,20
13,13,1,'419532',1997,17
14,14,1,'419532',1997,19
15,15,1,'419532',1997,33
16,16,1,'419532',1997,44
17,17,1,'419532',1997,28
18,18,1,'419532',1997,29
19,19,1,'419532',1997,51
20,20,1,'419532',1997,55
21,21,1,'419532',1997,52
22,22,1,'419532',1997,59
23,23,1,'419532',1997,57
24,24,1,'419532',1997,60
25,25,1,'419532',1997,49
26,26,1,'419532',1997,47
27,27,1,'419532',1997,60
28,28,1,'419532',1997,40
29,29,1,'419532',1997,27
30,30,1,'419532',1997,36
31,31,1,'419532',1997,49
1,32,2,'419532',1997,63
2,33,2,'419532',1997,66
3,34,2,'419532',1997,59
4,35,2,'419532',1997,61
5,36,2,'419532',1997,49
6,37,2,'419532',1997,44
7,38,2,'419532',1997,39
8,39,2,'419532',1997,37
9,40,2,'419532',1997,34
10,41,2,'419532',1997,29
11,42,2,'419532',1997,44
12,43,2,'419532',1997,45
13,44,2,'419532',1997,38
14,45,2,'419532',1997,38
15,46,2,'419532',1997,42
16,47,2,'419532',1997,49
17,48,2,'419532',1997,55
18,49,2,'419532',1997,56
19,50,2,'419532',1997,62
20,51,2,'419532',1997,59
21,52,2,'419532',1997,55
22,53,2,'419532',1997,42
23,54,2,'419532',1997,47
24,55,2,'419532',1997,53
25,56,2,'419532',1997,45
26,57,2,'419532',1997,42
27,58,2,'419532',1997,41
28,59,2,'419532',1997,46
1,60,3,'419532',1997,58
2,61,3,'419532',1997,59
3,62,3,'419532',1997,42
4,63,3,'419532',1997,58
5,64,3,'419532',1997,61
6,65,3,'419532',1997,45
7,66,3,'419532',1997,51
8,67,3,'419532',1997,63
9,68,3,'419532',1997,61
10,69,3,'419532',1997,64
11,70,3,'419532',1997,60
12,71,3,'419532',1997,61
13,72,3,'419532',1997,57
14,73,3,'419532',1997,57
15,74,3,'419532',1997,39
16,75,3,'419532',1997,42
17,76,3,'419532',1997,48
18,77,3,'419532',1997,59
19,78,3,'419532',1997,53
20,79,3,'419532',1997,51
21,80,3,'419532',1997,63
22,81,3,'419532',1997,73
23,82,3,'419532',1997,61
24,83,3,'419532',1997,67
25,84,3,'419532',1997,65
26,85,3,'419532',1997,49
27,86,3,'419532',1997,55
28,87,3,'419532',1997,62
29,88,3,'419532',1997,63
30,89,3,'419532',1997,65
31,90,3,'419532',1997,55
1,91,4,'419532',1997,56
2,92,4,'419532',1997,59
3,93,4,'419532',1997,64
4,94,4,'419532',1997,63
5,95,4,'419532',1997,58
6,96,4,'419532',1997,61
7,97,4,'419532',1997,53
8,98,4,'419532',1997,56
9,99,4,'419532',1997,57
10,100,4,'419532',1997,55
11,101,4,'419532',1997,61
12,102,4,'419532',1997,42
13,103,4,'419532',1997,39
14,104,4,'419532',1997,44
15,105,4,'419532',1997,51
16,106,4,'419532',1997,59
17,107,4,'419532',1997,64
18,108,4,'419532',1997,62
19,109,4,'419532',1997,64
20,110,4,'419532',1997,71
21,111,4,'419532',1997,72
22,112,4,'419532',1997,70
